day,Eggs,Larvae,Pupae,Adults,Zero Locations
229,4680428.699766,327438.107346,277247.806505,272709,11903
230,4763048.374688,334242.978499,318723.366471,280722,11268
231,4834131.966779,334375.441495,328757.987802,294787,10166
232,4992984.953759,336081.848511,323872.128492,307728,9476
233,5200723.737174,342013.480204,326083.593447,319583,8750
234,5256378.840822,342417.952602,313652.305368,329748,8191
235,5245183.295493,341084.793505,296002.680548,336064,7851
236,5489679.395952,345271.308588,286922.228605,339208,7631
237,5750929.818056,348776.270804,266490.518250,340004,7672
238,5606987.803199,350934.485152,272300.844127,337965,7729
239,5671407.557188,353436.877331,281436.699507,337171,7702
240,5460872.165729,350130.724389,287338.980124,339059,7643
241,5209028.579561,343205.367221,283201.319077,341083,7647
242,5031502.961491,338276.984549,278326.771478,342794,7608
243,5300047.126411,344677.688666,288365.185412,342486,7536
244,5524803.945840,353591.756076,318400.249066,343563,7531
245,5170335.282222,346779.075350,328279.375530,349845,7119
246,5147600.347722,342702.422868,319560.838898,356161,6746
247,5450016.656031,347292.334973,312069.959529,360640,6591
248,5700252.376804,355496.050299,319962.323264,363412,6573
249,5755843.831482,362017.300275,362502.091310,366593,6481
250,6004324.139453,365098.762465,369496.983398,375490,6225
251,5866535.102910,361979.427266,361437.170884,385863,5816
252,6022092.627486,364939.134581,364031.130937,392966,5451
253,6321426.802228,375106.173900,408146.568509,399816,5268
254,6335476.159337,376820.041763,429320.864494,412608,4934
255,5963256.583652,370064.127248,436280.446803,427582,4451
256,6355453.577478,370970.499050,404391.568469,440213,4107
257,6695665.092947,377729.505115,382745.506853,446915,3962
258,6910522.685285,383319.024423,369935.806298,450039,3876
259,7154387.120018,386897.440839,351142.628631,451148,3859
260,7428511.270218,388325.354786,317084.072173,447272,3996
261,7769828.763377,392379.624571,283660.565590,439525,4099
262,7631827.186801,393682.906180,276670.136462,428270,4451
263,7562950.270418,393082.458479,277112.102634,416714,4801
264,7259419.050791,387921.381465,273310.338006,406955,5106
265,6976878.206567,383083.907235,282137.281538,397592,5432
266,6966683.203582,383796.206611,295383.446026,392210,5625
267,6632997.066572,376831.612534,295033.584111,388337,5685
268,6787804.314540,380941.183700,324608.438991,384675,5769
269,7161639.336168,385735.375459,355780.140392,385698,5610
270,7116737.975072,390625.899268,379832.777448,391761,5501
271,6795825.008539,387190.616071,405013.501141,401465,5214
272,7124906.470794,388376.028289,402168.402368,413258,4777
273,7213304.405863,391860.857162,407048.045101,423188,4432
274,7488119.970160,397552.141799,417134.930850,432268,4247
275,7705636.644477,403007.743028,427291.686744,441955,4001
276,7806293.006536,404902.044379,428663.682774,451988,3774
277,7535169.681589,403032.640254,447851.227205,460966,3483
278,7335050.041344,400868.275533,474401.121410,472960,3196
279,7515697.877010,403872.662744,502072.639138,487271,3016
280,7618385.219324,404707.437774,507163.417666,505079,2791
281,7725991.035515,406414.047241,515628.189885,519308,2552
282,8183004.245182,413753.364716,510037.080415,533902,2375
283,8690339.983471,420882.344107,489425.173592,545789,2124
284,9015643.085910,427226.517071,482064.804848,553005,2152
285,8598078.999014,420743.329822,455217.542051,558030,2111
286,8001384.167484,410612.334184,432847.413532,558968,2084
287,8446994.380413,413591.988930,401898.907790,555129,2144
288,8719387.825018,418842.110252,382438.631766,547683,2212
289,9093843.500483,422682.665339,364940.119373,536918,2414
290,9032208.555383,426239.049149,368270.737518,526238,2482
291,8586826.030396,419437.506696,361795.020136,516381,2617
292,8315084.487595,414920.454392,372244.476393,507877,2763
293,8371435.533582,414120.353674,370180.566130,501650,2812
294,8055551.013278,412955.562545,407160.915494,495920,2968
295,8193177.893525,419333.847216,485437.364758,496554,2910
296,7690408.636372,412924.041205,554828.906806,508780,2711
297,7399640.883894,404186.317579,568584.476805,531245,2400
298,7963408.266694,410306.198341,562245.111012,551761,2078
299,8517592.969761,418675.667179,534795.015232,569602,1896
300,8945052.530714,427278.588534,523566.061183,580786,1781
301,9254996.996725,430678.599498,486343.937968,588567,1740
302,9380678.268882,430437.241557,439452.304852,589816,1746
303,9516191.116298,434955.154088,420010.747247,584220,1762
304,9063073.381642,433588.675097,460075.443700,575042,1913
305,8896437.452792,430467.730281,490494.655243,574849,1929
306,8388152.590306,426429.941271,554918.297056,578735,1831
307,8825203.429575,431039.377914,598311.324362,591928,1633
308,8647920.359398,428999.904090,628971.228852,610259,1493
309,9199123.483828,436777.366018,676225.006960,629738,1373
310,9719618.967337,444370.885715,667745.207823,655205,1200
311,9557409.631297,441087.939353,615829.393299,675938,1090
312,10233775.687843,449982.681691,599395.678391,686060,1005
313,9928099.877386,447688.483136,570252.530674,693293,993
314,9388755.124617,438060.066501,517514.643460,694516,940
315,9077599.040132,435269.344542,518414.581198,686942,1044
316,9822638.392003,443043.803695,499457.421113,681229,1106
317,9301991.941190,436775.913489,480501.062462,672587,1081
318,8833759.524574,428193.315399,458953.527001,663160,1160
319,9331514.685841,428476.061463,393912.502932,650508,1248
320,9544340.490581,428945.186162,341318.725935,629009,1408
321,10568620.340336,446721.732563,348502.841125,601987,1635
322,10422671.418284,447776.320401,349098.588618,580069,1853
323,9730050.523788,438277.763659,340159.505841,560634,2017
324,9187623.586834,430030.108605,346576.800925,542668,2333
325,9180782.940243,427589.722671,350298.309588,527892,2523
326,9549526.237192,436880.275884,405954.192007,515188,2653
327,9382967.283989,436247.305446,445065.695507,513499,2571
328,8898698.006697,428648.773040,467338.209700,517244,2568
329,8984191.479069,427883.637478,469858.249698,524549,2501
330,8910785.668124,428731.687612,491428.908577,531889,2354
331,9034009.522038,432322.685986,530536.007279,540135,2206
332,9038647.242879,432040.402296,549638.619474,553833,2085
333,9198570.783292,433240.981967,545568.936996,569235,1939
334,9454008.853696,437883.309462,550867.218380,581813,1766
335,9582497.924767,439007.870503,530324.955858,593508,1662
336,9464123.570281,437752.477871,515506.913128,600585,1619
337,9382243.905966,434339.799820,478961.067069,604755,1566
338,9346747.131695,433958.294656,458139.265897,602224,1533
339,9461689.148803,434036.512744,426256.427594,596086,1615
340,9508722.454305,430641.855059,381786.350813,587202,1735
341,10345509.146066,441623.912702,368047.534474,571495,1881
342,10935981.794732,454250.194012,376162.918811,555361,2066
343,10793453.418303,454308.101337,379379.419711,543715,2252
344,10729505.765372,455504.654301,410227.640121,533896,2386
345,10451422.501450,450425.313355,417703.096536,530058,2358
346,9432614.203785,441261.403015,459793.696164,528236,2407
347,9061914.049492,436499.102911,524510.191397,532871,2399
348,8604440.527021,427080.442698,544764.562646,546819,2208
349,8538780.622806,422901.425178,533236.640484,561145,1972
350,8609319.310184,424105.558940,538250.149835,573368,1858
351,8833974.574732,426433.909311,518622.562978,584509,1760
352,9018914.931601,427636.792065,486614.709180,591606,1602
353,9300673.721431,429823.505568,450046.629676,591254,1689
354,9872103.416827,438237.902967,428644.999674,585876,1709
355,10022629.776701,443450.753404,423311.707088,577755,1807
356,9767724.311530,443576.256324,444488.851210,571433,1874
357,9734363.615192,440928.848351,449269.958833,568139,1906
358,9218411.343529,433144.803496,443680.557514,565899,1944
359,9260543.278991,431140.810676,429882.411253,563108,2039
360,9302716.055072,428429.045325,393105.078864,558207,2076
361,9819015.884741,433474.335485,368620.153937,548319,2075
362,10425860.603115,445812.075052,376054.858881,535404,2316
363,9948347.044866,442330.718454,377486.745464,526557,2459
364,9552966.275783,436670.278111,383233.487005,518743,2567
365,9353335.215437,431841.900276,388540.726121,511978,2645
366,9106980.711510,430136.777832,406779.651002,507729,2766
367,8963706.147575,429621.631981,443387.790869,506108,2727
368,9262040.781826,433433.535111,485294.776412,510464,2650
369,9446728.378766,435413.996490,496349.660603,520772,2518
370,9152550.467117,432798.883693,500306.075836,532554,2348
371,9170978.577069,430365.980217,479353.730390,542825,2237
372,9187353.867050,429122.939356,450161.943272,548912,2115
373,9545327.953493,434039.375281,439669.919544,548723,2125
374,9462431.893756,435677.716982,436719.532147,547903,2162
375,9313921.206230,430788.838799,405371.296532,547054,2155
376,9285841.986364,428007.557717,382171.546618,541121,2233
377,9359638.314030,429717.232546,377785.367432,531296,2344
378,9353676.522803,431405.561515,378973.552251,523054,2486
379,9195326.271439,427195.184708,367432.560530,515590,2577
380,9624633.756668,430748.816338,350970.061893,506267,2708
381,10098437.122390,437281.594778,345949.409876,495942,2994
382,10289064.829774,443776.842299,354592.293129,486418,3133
383,10420763.372266,444652.889618,346683.098704,479248,3207
384,10561664.792208,445149.044253,341487.647711,471111,3403
385,10537941.544115,446357.180479,351649.810911,464015,3619
386,9810777.607060,443064.131287,398307.380594,459415,3583
387,9236786.463545,434478.229334,430201.493155,463111,3565
